	id	sentence1	sentence2	is_duplicate
329210	0ea91612ccda03c2128463cad	How do I sell a property?	How do I sell my property in Noida?	0.0
58243	6545a244315df886f087ede19	Why is life not worth living?	When do you think that life is worth living? Why?	0.0
169523	3194905180c04876e783ae8b3	What are the best Creative Commons websites for music?	What are the best sites to download Creative Commons music?	1.0
296788	9745631ef25c317f638918768	My 7 year old daughter just found out she needs glasses. I have read that the need for glasses can go away as the eyes grow, what are the stats on this happening?	What age should I be letting my kids go clubbing? My 16 year old daughter keeps on asking me if she can go.	0.0
203495	5e2e31b51d0a6511d44496f2d	My percentage in 10th is 90.2. My 12th percentage is 78.2 and my B.Tech CGPA is 6.5. What is my chance for making it into IIM A, B or C?	What are the rules at the IIMs?	0.0
357166	78e752445482e4d038affcc91	What is the average number of women a man has sex with during his lifetime?	Do all women like oral sex?	0.0
303350	3dfb51db418b95d8c79533945	Which Indian colleges admit students on the basis of SAT scores?	Do colleges keep SAT/ACT scores and high school transcripts for students they reject? Do I need to resend them if I apply again after one year?	0.0
160824	3b01f05ed8a561e3699d8005f	What are the best online or offline dictionary for chines people to learn English?	Is there any good online or offline dictionary for chines people to learn English?	1.0
302734	01d6206922eb458f287b910d3	What is the best medical care for a Jack Russell/West Highland White Terrier mix?	What is the best medical care for a Terrier/Border Collie mix?	0.0
163581	97161757aad57f3b0d720b69a	Did your opinion about John Green change after you found out that he used to smoke?	I found out that my nearly 18 year old brother and sister started smoking cigarettes before the wedding trip. Do I have a right to say something?	0.0
368404	a29e29df3a4a0356fb248865b	How do I fly an airplane?	How do you fly a plane?	1.0
261839	133024697930bccccb311a7ca	Who is the most famous contemporary singer/band in German-speaking world?	Who is your favorite singer/band from your country?	0.0
81364	3fcaa0a737411fb7d7b6f32bb	How much rank is needed in the GATE exam for textile engineering to get admission into NITIE Mumbai?	How much rank is needed in the GATE exam for civil engineering to get admission into NITIE Mumbai?	0.0
297124	4d374739d5f241d4ac64a383f	What benefit do uploaders on torrent sites get from uploading pirated copies of films, books or other content?	How do people benefit from uploading torrents?	0.0
364777	dc34e3f274874b15d7be16b16	What is the way to download hindi and punjabi songs directly on iPhone without syncing with iTunes?	How can I download music albums?	0.0
119561	388e48ffb821168b32f8cbe79	What are questions which have no answers?	What are some of the questions which has no answers?	1.0
391995	81eb5b0d960da9143cc4994ac	What are the steps to get the UAN number for my PF account?	Can anyone guide me with UAN / PF account?	0.0
360009	77a84b8a3dc6b59b759b96b92	Where do steroid hormones have hormone receptors? Why?	Is insulin a steroid hormone?	0.0
17829	f3bb5a8416fbf1d5c087440d0	What if we throw atomic bombs in a Black Hole?, Will it increase its strength?	How are black holes formed?	0.0
388668	3d825e75260318f1f0055b212	My boyfriend is 6 months younger than me, is that bad?	What problems will I face if my husband is 6 months younger than me?	1.0
369315	8513a958c81ca7291ec582fd8	Is one sitting degrees valid for every jobs in india?	Is there a one year or two year valid degree program for diploma holders in india?	0.0
298618	84d7cf8c043719503df484684	What is the one thing that you want to change about yourself?	What is one thing you wish you could change about yourself?	1.0
298013	bd74211491736f02ecf259ddb	Do employees at Tyler Technologies have a good work-life balance? Does this differ across positions and departments?	Do employees at Agilent Technologies have a good work-life balance? Does this differ across positions and departments?	0.0
322972	04ab0e848c772303af9f9a6dc	If the focal length of a double convex lens is 20cm, then what is its focal length in water?	I have a convex lens of focal length 20cm,size 50mm. What should be the focal length and size of the other convex lens to make a powerful telescope?	0.0
134339	da2682439dd80c0a428efcd80	Is there a way to explore fast Wikipedia articles and related Wikipedia links to build the graph of its pages structure?	How do I get rid of the odour of varnish applied on tiles?	0.0
8881	fa0c1123248f2cd37a58ba06e	How do you cook slightly frozen chicken?	What's the fastest way to cook a frozen chicken breast?	0.0
70984	9894bc3ffd33b492501028fe5	Psychology of Everyday Life: What are some little things that make people happy?	What is happiness? And what are the things that makes you happy?	1.0
10317	99e91bed47da541714cb73255	How do I delete old Instagram account without the password or email?	How can I delete my Instagram account if I forgotten the email I used?	1.0
393326	872f3fb8287ed3e7367e8e9a9	I got 753 rank in Aiims and I have not attended to 1 at counseling. will I am eligible for second and third counseling?	How much percentile should I aim for, to get into an IIM in CAT 2016?	0.0
317414	e770f3993eac788660b378674	Which are the top 20 Twitter influencers to follow if you are a start up and want to connect?	What is the average number of syllables spoken per minute in a normal sentence?	0.0
237342	1a4fff5b45e3606f5c58880c8	How should I avoid procrastination?	What is the best way to kill procrastination?	1.0
349061	9c5e1af5330c57a783796bb29	What's the shadiest tactic you've witnessed HR use at your job?	Is delaying part of the Google HR/Recruiting negotiation tactic?	0.0
322066	d6054ea0e786faae8ed28dfac	How do i lose weight?	What is the fastest possible way to lose weight?	1.0
195120	3e4d34f726416065eb065fd12	In what year was Indian currency released with Mahatma Gandhi's photo on it?	When did Mahatma Gandhi first appear on Indian currency ? 	0.0
96771	1182f25b54aa1591795e4acc8	What are some top jobs in wildlife in India?	I see average students from ordinary universities in India pursuing Master's of Science degrees in the US, and after graduation, they get jobs in top companies like Amazon and Microsoft. What job profiles are they offered by these companies?	0.0
137329	7e04cae19631321b8191efae4	Which is the best medical college?	Which one is the best medical college hostel in india?	0.0
347859	908ab3bce622d58e3df57be56	How do I get rid of sores in mouth?	How do you get rid of a mouth blister?	0.0
49867	395ea8c022525e4b252353920	There have been 3 to 5 times in my life that I've been so angry that I have switched off. I see only red air around me . Anyone know what this is?	I've been in a relationship for the past 5 years. Nowadays she is with me but not as a girlfriend. She said that she has lost such types of feelings. I want her back in my life like the old times. What should I do to bring her back?	0.0
290338	cad381e8ad490b553b51b4d0d	What is the atomic mass of methane? How is it determined?	What is the atomic mass of bromine? Prove it?	0.0
189700	727723e9e876b7725e7b57739	What is software define network?	What is software-defined networking (SDN)?	0.0
44081	14a1f44c02dfe05fb42655ea4	How do you say ‘prodotto notevole’ in English?	How can I say 色迷迷的 in English?	0.0
163101	7c778fd548e2b232a941c438e	How can I increase my penis?	How do I enlarge the length and width of my penis?	1.0
180557	babbc66a98abe12bb544184e1	Which is the best college for Fine Arts in pune?	Which is the best college for a 'Bachelor of Fine Arts' in Pune?	0.0
274789	e1528ab0d2a569b304f9915a6	Which hand muscles are used in writing?	Are extra ocular muscles used for accommodation?	0.0
61315	be215570df9b6a9b0f9f8c723	How do you get over somebody you cant live a day without?	How can I get over somebody I really love?	1.0
370577	fc2c5d0e012b156c62746cb42	I’m very much interested in computers, what are the opportunities after my inter?	I am very much interested in computer science but unfortunately I have taken up commerce, what options do I have after my graduation?	0.0
178154	367ea2163ac44e932abc1e574	How hard are the SAT subject tests?	What are SAT Subject tests?	0.0
220348	5122f7787a511c9270295f1ab	How are the top businessmen like Ambani, Tata, etc. affected by demonetization?	How has demonetization affected big business people like Mukesh Ambani?	0.0
29465	d663d97e8f4fc56413df4d2dd	What is the cost of tea standardised by Indian Railways for selling in trains?	How do I apply for industrial training for E.C. branch in Indian Railway?	0.0
254915	395c4cdd5a10a35bf896514ad	Why do we look different in the mirror and photos? And how can we make both look similar?	Why do I look good in the mirror but bad in photos?	1.0
142177	2ffb4626af71cd208030389dd	Which is the best institute to learn digital marketing (job oriented) in India?	What are the best digital marketing courses for mid-senior level marketing managers?	1.0
193784	851fcdeb1b2e650634129f960	How do I find the love of my life?	How do I find a Love of Life?	1.0
44895	445563e2262171a6b3222c818	I got the Pokemon Y rom but I cannot find the emulator. Where can I find it?	How can I play Pokemon X and Y on a PC?	1.0
343071	120245c1e83b228d3b3fb77eb	"""Why does Quora often show the """"This question needs clarification"""" message?"""	Why is my question marked as needing improvement when it is perfectly clear and well written?	0.0
210485	eafbb89e3ec23e3d3bf3c667c	How can one overcome the fear of speaking in public?	Should I overcome my fear of public speaking?	1.0
265392	e0c8479c1fcc7887e1b507a01	What follows the G2 phase?	What are the eight phases of meiosis? How do they occur?	0.0
307455	0f6e9544876d1d71f6f28fd16	How do I handle my anger issues?	What do I do to have anger management?	1.0
115036	b7e76bb7e791dfa9b343d6d50	How do I add a location to my business page on Facebook?	Can a Facebook Page check-in to a Place? Or, what's the best location service for a Page to use?	0.0
85070	9c49d02365d959af5d260ed88	How do I write a letter to the bank for an address change?	How do you address a formal letter to a family?	0.0
156545	ba88b225346f9da50131e9483	What motivates people with technical experience to answer questions on Quora?	What pleasure do people get from answering questions on Quora?	1.0
359843	71731d83321f84c948c52f380	Why we need to study?	Why we need study?	1.0
273144	bdc6efe6e509de16f5b099fb1	What are the best keywords for mobile company website and why?	Which is the best keywords for website development company?	0.0
67770	80f22addbdd9c333a959940de	How can I apply for internship in Maruti Suzuki?	Does Maruti Suzuki recruit off campus?	0.0
319628	49c1da769acc0674ae4769ca5	How can I send money from the USA to Dubai?	What is the best way to send money from the UAE to the USA?	0.0
324826	86443a34ce993397105ee7332	When and how did you start smoking cigarette?	What is the best way to start smoking cigarettes?	0.0
247199	d3316fca1d8d97961c1c29ae4	Wanting to kill myself?	Why do smart people make me feel jealous?	0.0
324992	198e4de0dfb257991ee1dd9cb	How do I graduate high school early? I'm currently a 10th grader.	I am a sophomore in high school and I would like to graduate early, what classes do I need to focus on to be able to do so?	0.0
62555	62f7b738676675cd2647de7bd	Profit or Non profit organization ?	What are the top 10 motivational songs by Eminem?	0.0
37953	ec1c2c1d19c8100370cef2eab	Why do some people in China hate Chinese people who go on holiday to the Philippines?	What was the most racist encounter in a country you visited as a tourist?	0.0
209074	f48bd343ee1e3ddf31f768f9f	Is Azerbaijan culturally Europe?	Are Armenia, Azerbaijan and Georgia part of Europe?	0.0
160424	cbe3a4192b5ce88436b8848ce	What is actual meaning of life?	What is the meanings of life?	1.0
320430	9514e52127d0406cc8665fbea	What is the meaning of f(2) in calculus?	What does f(x) mean in calculus?	0.0
363569	045777e437d4f2d0cd9d5676f	What are the most viewed Indian videos on YouTube?	"""Why is """"Gangnam Style"""" most viewed on youtube?"""	0.0
292734	31f90a91ed7c39dafa528e64d	How do I find someone who truely loves me unconditionaly?	How can I find someone who loves me?	1.0
261	b97c4eb816a242f14bc899d47	How do I choose a journal to publish my paper?	Where do I publish my paper?	1.0
99718	7c70ef9977df346a67ffb1a8b	How do I save money while shopping?	What are some great tricks to save money while shopping online?	1.0
380268	8f51676ac4f14c0045e3ad0c1	How many calories does walking for an hour/per hour burn?	How many calories would you lose by walking for an hour?	1.0
53139	6b33599c0d01408883b12bb53	What is prison for?	What is prison psychology?	0.0
110324	40d5f80cfd2094e08b6a7a652	How can the political situation of the communist nations of today be compared to that of capitalist countries?	How can the political situation of the communist nations of today be compared to that of socialist countries?	0.0
64460	af7bd18713d60c262fb9996a9	What would be the benefits of a land value tax in the US?	Are taxes on land values practical?	0.0
11291	35c4fcb609c1e53319717e277	What are some of the best graphic design software tips?	What is the best graphic design software?	0.0
197221	073720370f50e0b9883eb563d	What's the best decision you've ever made?	What has been the best decision of your life, personally or professionally?	1.0
334428	ec18464d27f68e3eabbe04439	Why is it important to have freedom of religion, press and expression?	How important is freedom of religion?	0.0
88849	2b99a7b294484bfea88afeb32	What words can I make?	What words can I make out of jjsjam?	0.0
161612	c0d0b65ede8cd51b2e22d6fd9	I have planned to do MS in coastal engineering.Is that branch good to find me a job after finishing my degree? Does this course have much opportunities?	I want to do computer engineering but due to so much competition and rush in this branch, will it be difficult to get a good job after graduation?	0.0
325217	66cb9ca4f3cc00e9b36debb91	How much calories do 20 burpees burn?	How many calories do 100 burpees burn?	0.0
191426	6ffca1b35e2edb19af5daf098	What are the best institutes in india for rural management studies?	What are the best institutions in India which offers rural studies and rural development?	1.0
176639	b7b7ea03f5c157a7b9f29ffbb	How is chronic fatigue syndrome diagnosed?	How is Chronic Fatigue Syndrome treated?	0.0
286275	e48621030b022b5944a04853d	Which regions of Canada are hot-beds of left-wing politics? Which regions are hot-beds of right-wing politics? Why?	Which regions of Indonesia are hot-beds of left-wing politics? Which regions are hot-beds of right-wing politics? Why?	0.0
19383	51eb82fae83c78620d4033801	What are some things new employees should know going into their first day at Conn's?	What are some things new employees should know going into their first day at Stamps.com?	0.0
121591	42ddfa856a17f6f06f4d73641	Is it possible to use Jio in 3G phone?	Can 3G mobile support relience Jio sim?	1.0
38414	600d2ab11e9a81c10faa2f6f8	Why has Apink been so successful?	"""What is """"Application"""" in Korean?"""	0.0
295793	0a495aa6a405ad04ed7aa4ffa	Who are some lesser known important historical figures of Bulgaria and what should people know about them?	Who are some lesser known important historical figures of Denmark, and what should people know about them?	0.0
147189	d7ca7b4b43f97434dd9d4d888	Which university is better for masters in business analytics? University of Illinois Chicago or Bentley University?	How does the master of science business analytics program at Bentley University compare to their more renowned marketing analytics program?	0.0
15810	05b9d0027bf5579e98754e085	What are some tips for owning a vacation rental?	What is a vacation rental?	0.0
175634	f9801885f00665336fec43848	"""Do you believe in the theory of """"Ancient Aliens""""?"""	Is the Ancient Alien Theory Correct?	0.0
65186	95a0a4465c0c4fdecbb4832cd	How many times has Donald Trump gone bankrupt and did he use loopholes to build his business(es) back up?	In the last 20 years, how many failed businesses has Donald Trump had? How many times has he filed bankruptcy?	0.0
8036	387f2c24ebcc8fcb47ffeb06c	What it feels like to be very old and thinking that you'll die with in few years?	What is it like to know that you'll die soon, as in being very elderly?	1.0
375552	118ac49c2b46d19e18eee8426	Resonance or FIITJEE: Which is better? Why?	Which is better, Allen or Resonance, for class 11-12?	0.0
170294	a18a97f604bfa0726e1fbe289	What can be a one stop book for UGC NET Paper 1?	What is the syllabus for UGC NET paper 1 and is there any book to prepare for it?	1.0
88740	e99b139764ff3629b7789c868	Is it normal if you lose 25-30 hair strands daily for males?	I am a 23 year old male and  losing 20 - 30 hairs daily while I comb my hair in the mornings. Is this normal or should I consult a doctor?	0.0
252575	60d56db587bad1485a4769da4	Is America going to fall?	Is America going to collapse?	1.0
90116	d94ce8e48bd044a1426425f87	How can I become a pornstar ?	How do I become a porn star?	1.0
370795	e301dc03f3cfc86cba8054ccc	Does the Quran state that the earth is flat?	Is there a mention in the Quran that Earth is flat and the Sun revolves around Earth?	0.0
47816	4c45221a3226223eb9032d4a8	What are the skills required to design an augmented reality UI & UX?	Do any one know presto infosolution pvt ltd?	0.0
224469	3fc8f295bba139af93073c9b1	Does it hurt to have sex for the first time? If so, why?	How do I make sex first time less painful?	1.0
159771	e631f14d6a86f6f29b53ac06a	How can I get rid of the fat on my stomach?	How do I get rid of fat in my midsection?	1.0
14348	e162e0266a0ebf7de2e7e2d33	How can I utilise the 5 days before the maths board exam on 18/3/15 and simultaneously study for the economics board exam (20/3/15)?	I have 3 days time for my class 10 maths cbse board exam. How do I practise so that I score 100%?	0.0
193388	5e63085e45897c557418aaf0f	How do I seek financial aid for a verified course at Coursera?	How would I know that coursera has approved my financial aid request?	0.0
191973	a7f8d025ee5638456ad4f1da5	What are some fun things teens can do in the summer?	What are some fun things to do in the summer as a teenager?	1.0
273569	f33f30678fc28c8a82e81fb79	How do you stop your period once it has started?	Can I stop my period once it starts?	1.0
215207	3c08156939197c5bc99f27cb6	Why is Saltwater taffy candy imported in The Bahamas?	Why is Saltwater taffy candy imported in Switzerland?	1.0
145454	a90004609032e8747b8d595e4	Do Quora users still see questions that are marked as needing improvement?	Do people see questions that are marked as needing improvement?	1.0
269341	e32619bbc4669dc3dec1cea43	Why is transformer rated in kVA and not in kW?	What is real, reactive, and apparent power?	0.0
337756	75880b99bf491e0711bc350a2	What does it feel like to be fired from Google?	Has anyone been fired from Google?	1.0
171527	9f3db7a102ca74d171c791971	What should I do about this little girl having a crush on me?	What should I do about my crush on this guy?	0.0
141883	f3b55ec46cb422ec4f8fb8959	Where can I get list of stylish collection of designer floor tiles in Sydney?	Where can I get amazing collection of floor tiles in Sydney?	1.0
121787	f84a61d74d17ad2844a551b00	How do I learn advanced SQL?	What is the best way to learn advance sql?	1.0
163239	7089ded1756cef8d47014bcbd	What is the story behind the alleged affair of SRK and Priyanka Chopra?	How is Priyanka Chopra as a person in real life?	0.0
74084	a4b01726f2ea81f6d449923c2	Do you think the most likely 28th Amendment should involve education?	What are the most likely candidates to be the 28th Amendment to the Constitution?	0.0
277998	be23ae9297e9f857cb2864504	What is a way to make money online?	What is the easy way to make money online?	1.0
372248	af2924ddf93481ba350a61905	What are the best software tools for structural engineers?	What are some of the best companies for structural engineers?	0.0
251168	dc24f2285094a489c3a171e51	How does a person learn how to hack?	How do you learn about hacking?	1.0
247318	4d4efbc5b31e25c82c5f8c17f	What would be effect of 500 and 1000 Rs notes ban?	What are your views on the ban of Rs 500 and Rs 1000 notes by the Indian Government? Pros cons?	1.0
401250	c49e60d4536457e78f4cea65c	"""Can the statement """"X is n times less or smaller than Y be justified when n>1?"""	For any [math]A_{n\times n}[/math], is it possible to show that [math]A^{-1}[/math] is unique?	0.0
114494	339039c28d5ab35c29ba86400	How can a foreign Web developer find work in Dubai?	What is the average salary for an IT professional in Dubai?	0.0
384469	e41be4636f5afd218d716f8a1	Why acceleration due to gravity is zero at center?	Is acceleration due to gravity an absolute constant?	0.0
151650	768d0a6d45acd6be124c9f158	What are some mind blowing bike gadgets and technologies that most people should have?	What are some mind blowing car gadgets that most people should have?	0.0
83712	7ddeb00eb6c485c541aa8ba17	Is there any difference between faith and belief?	In a religious context, what is the difference between belief and faith?	1.0
144892	9852e67eabc5f472937f39136	Which is a good inpatient drug and alcohol rehab center near Hamilton County FL?	What is a good inpatient drug and alcohol rehab center near Leon County FL?	0.0
382857	48b59efb308bfd93657233246	Why is my period 11 days late and how probable is it that I'm pregnant?	My period is late 14 days, could I be pregnant?	1.0
271224	f5905b3b0d2ac129fe8c533fc	What are the best road trips that can be done in India?	What are the best road trip destinations in India?	1.0
100103	b6cd447745220646eec17562a	How do you plot your novels?	How do I develop my plot into a novel?	1.0
265780	fbd808623ebece283932c4eb6	What is your greatest regret in life?	What are the biggest regrets of your life?	1.0
57026	057cb72b6a5698cb1492162f8	How is the word 'defile' used in a sentence?	How is the word 'taciturn' used in a sentence?	0.0
143628	5438ef630cf0f0361217ab036	Has anyone used keenmobi.com?	Has anyone used Centurica.com?	0.0
210616	63b3273590a317989f8c1580d	Computers: Why does my screen go black while watching Netflix?	How do I zoom out on my computer screen?	0.0
378972	59620791c0a60081c746d9bae	What are the advantages of black tea?	What are the disadvantage of black tea?	0.0
8095	f753d37bbd46bb01b33644b1f	Where can I get Painting services in Brisbane?	Where can I get expert house painting service in Brisbane?	0.0
171907	8757bd6e4e54466ee666c7661	Is helicopter parenting a trend?	Will the pendulum move from helicopter parenting to free-range parenting soon?	1.0
105679	927dd1327f1a6f8d996598a4a	Medicine and Healthcare: How can I prevent a stroke?	What are the best possible methods to prevent stroke?	1.0
180151	f6dda42f2ba93332bdd7866a4	What is the difference between computer science and information science?	What's the difference between computer science and information science engineering?	0.0
218934	37c09bbf9f29e7dc48a87dd3f	Is Disney contractually allowed to remake the Star Wars prequels?	Would it be possible for the Star Wars prequels to be successfully remade by Disney?	0.0
41549	a7181d5491298e0b3ec563eb3	New-York Season 2 online watch?	How can I hack WiFi using a command prompt?	0.0
198049	5631cc74d6537f64ff2b414a9	How can you learn street dance?	What is the best way to learn to dance?	0.0
245008	f7b0d531cefbde37446301b79	What are the uses of Arduino?	What is the software used in Arduino?	0.0
336649	707610416d336e618a38a4a95	Fascists: Why are you a fascist and how did you come to be one?	What are some helpful suggestions to make using computers easier for someone who is going blind and has shaky hands?	0.0
155909	65a68e450339e4e13f23008e6	What are the 2 best lines of poetry or Shayari?	What is the best 2 line Shayari?	1.0
324209	7a9ba616aee97035b9495b027	Has anyone ever gotten excited to do something but can't get themselves to actually do it?	What is Freud’s explanation of love ?	0.0
96030	a46365d688cd61f2a102cd2d2	What is the fastest way to learn how to cook?	What are the best ways to learn to cook?	1.0
335412	cfa87fcfac38f16a1dc50a3e4	Why do some people think that the Earth is flat when it is very clear that it is not?	Why do some people still think the Earth is flat?	1.0
93426	49fa2602820460dbc5236c6a3	Who's better: Metallica or Slipknot?	Why is Megadeth better than Metallica?	0.0
104443	fdc03fd7c712cac9dd0a5e418	What would Planet 9 be like?	What is Planet X?	0.0
322466	fd498f01230a33fad2706332a	How do you accept yourself as gay?	How can you accept yourself as gay?	1.0
299140	1fad1f38e10f0199de245c638	Which are the best books for iit jam mathematics?	What are the best books for preparing for the IIT JAM Maths exam?	1.0
203294	7eca5b585ab7eec2016572e97	What is the best selling book of 2015?	What are the best selling books of 2015 in the field of spirituality?	0.0
217482	1f09e635887e7bc6f638f6991	What did Dhoni step down as ODI and T20 captain so quietly?	Why did MS Dhoni steps down as captain of India limited overs side?	1.0
236955	cd2e51189f30af2ece022482c	What are some things new employees should know going into their first day at Xerox?	What are some things new employees should know going into their first day at Target?	0.0
5493	85d27b395484615cfcba2f4e1	What are the best online courses for digital marketing?	Which are the courses on Coursera or other MOOCs to study digital marketing?	1.0
279066	d9c5ef6404b7abed8d50ceedc	What are some of the funniest questions asked on Quora?	What are some funniest questions ever asked on Quora?	1.0
354526	59be046eccd237352185044d7	Can we play PES 2016 offline?	Has anyone played PES 2015 on PC?	0.0
308634	10f702b62844c9ccea653d1ef	How can you cook a cucumber?	Can you cook cucumber?	0.0
314972	5489edbeb4a7132e049944629	What is the solution of Kashmir problem?	What is the best political solution to the Kashmir conflict?	1.0
171041	e277944670c770e80cf616c76	How do I learn not to care about what people think of me?	As an individual, do I really need to care what people think about me?	1.0
388345	fb2f121977954f67a8428df97	Does ulcerative colitis cause an enlarged spleen?	What is ulcerative colitis?	0.0
160939	752e2042be398c2ed2cf942af	How do I become a Technical Applications specialist?	How do I become a Squarespace Specialist?	0.0
82964	2722810144114b26f9a0fb2f3	How can I unfollow everyone I'm following on Instagram?	How do I know who I follow that do not follow me back on Instagram?	0.0
168616	94f48e892f3f82ec50e6562af	Do we need smart cities or smart politicians?	Do we need smart cities or smart laws?	0.0
314487	8307952a7c423778e338d64c8	In the film La La Land, does Ryan Gosling actually play any of the instruments?	Did Ryan Gosling learn to play piano for La La Land?	1.0
310339	5b4e4c775959026f618613beb	What would be the economic impact of a Swadeshi movement if India were to adopt it in today's economic crisis?	What is the economic slowdown in India?	0.0
249928	184029d6c0123a97e30c06956	What's so special about Tamil writer Jayakanthan's novels?	Who is your favourite Tamil writer?	0.0
4044	cab5d1f665743b48c13746202	Given access to the same facts, how is it possible that there can be disagreement between experts in a discipline?	Given access to the same facts, how is it possible that there can be disagreement between experts in a discipline? What are two examples for it?	0.0
89616	edaed7d822a77ba52df709404	Why doesn't edX provide an archive of their forums that would be available to anyone?	Why doesn't Coursera provide an archive of their forums that would be available to anyone?	0.0
279536	602cbd7e728c26dd25455a8f8	What are some mind-blowing gadgets for cars that exist in 2016 that most people don't know about?	What are the most advanced car gadgets that people don't know about yet?	1.0
175166	5d37dbab5db23d0034432ab01	What is the best way to learn web programming?	How can I learn web programming from home free and effectively?	1.0
314777	09d768a2624ab64987552b459	What is the difference between regular expression and regular grammar?	What is the difference between a*|b* and (a|b) * in regular expressions?	0.0
141371	1c8ac0a945939310fc7d01afa	What does population density mean?	What do you believe to be strong examples of consciousness evolving throughout the past 5,000 years?	0.0
339733	dd113f22abf763487c011811e	What is the best way to spend a weekend if you don't have a girlfriend?	How do you all spend your weekends (students)?	0.0
353867	683e5afb4714d25da3ef51c1c	"""What should we learn from movie """"Dear Zindagi""""?"""	"""What can we learn from the movie """"Dear Zindagi""""?"""	1.0
251183	4dc12c7b075ec521277cedf9c	What are the differences between tempera and acrylic paint?	When would I use tempera paint over acrylic?	0.0
87368	d62ffd8023736f96c5519dcdc	What is outer space?	Is there up and down in outer space?	0.0
177585	667c49c7239683b0bc15b1403	How can I slowly lose weight?	I am ugly and fat, how to lose weight?	1.0
296658	47dc67c448522c503c8f0332b	How is the GATE paper pattern by IISc Bangalore different from the IITs for mechanical branch?	How is the GATE paper pattern by IISC Bangalore different from the IITs for the architecture and planning branch?	0.0
241019	2ac85a8fb951f818c73cecccd	What mobile analytics platforms are most similar to Appsee?	What is your experience with using Appsee?	0.0
81075	35c3c4ef71549bb450fbc3997	What are the documents required for a uneducated person if he doesn't have birth certificate?	Why is that Annexure A is not accepted by PSK as proof for someone who is born on 1957, illiterate and doesn't have Birth certificate?	0.0
307805	a04d7ce688a315a0a8d15d3e9	What are some of the best video games of all time?	What are the best skateboarding video games of all time?	0.0
307179	fcbf2d57e39948436306a859c	After getting otp how to generate pin for newly debit card of SBI?	What is the day-to-day procedure of NDA SSB? What are tips regarding dressing?	0.0
268718	e3653f74bc4719e85ee35ae7a	What can you do to delete an Ebates account?	How can I delete my Celtx account?	0.0
162453	b95578b3124677210ee120b5e	Game of Thrones: How did the faith of the seven, the most powerless of the gods, become so prevalent in the South?	Why is Game of Thrones the most pirated show today?	0.0
17273	22135f8ee6549dda100a9112d	Is 1100 a good psat score?	Is a 1290 on the new (2015/16) PSAT a good score?	0.0
149593	c4f3e87932b10d6f10526319d	Europe universities that accept the license degree in geography advantage acceptable addition to the grant?	What are the best online poker sites in Europe that will accept US players (who are physically located in Europe)?	0.0
142242	cccdfcc8929228c2e4c2b6c59	What is your age and salary?	What was your age and salary when you got in to your first job?	0.0
447	0839b2b3abae3c47c3e50f4ee	What are natural numbers?	What is a least natural number?	0.0
45495	4e073a2093fcf3d247f3165f3	What are Zomato's fundraising strategies?	What was Zomato's strategy for the first 12 months?	0.0
147114	6e8b1eab62c0de5ee1e6973ef	Which iPhone should I buy between iPhone 6 and 6S?	What is the difference between iPhone 6s and iPhone 6s Plus?	1.0
345942	564ccb7dfe2e734e90b9854b7	How do I speak English fluently at an interview?	How can I speak fluent English with accuracy?	1.0
157818	b695d80604c193c94e9d32c07	Do Italian men really flirt all the time?	What do Italian men like in a woman?	0.0
103390	7a11abd54e7c0e3fa7a23f79e	Is there going to be war against Russia?	Is there potential for a war with Russia?	1.0
63015	47ef3d2528a592585c467c902	What's it like to be rich as in 1% rich?	When did the 1% begin and what is it?	0.0
355024	893b469dff520f32db0037dc1	How do I work out without gaining weight?	How should I work out to gain weight?	0.0
9361	4d4fe7265ba04c4c8aa1cf058	How do you delete Pandora stations?	Where does Pandora get its lyrics from?	0.0
52168	3fe27165ddb3b9096a602480d	How do I ensure that I don't waste time on the Internet?	How do I stop wasting my time on the internet?	1.0
341341	717b8738a4c7e7221ad60a3ef	How do I score 305 and above in GRE within 15 days?	Are 15 days enough to get 305 in the GRE?	0.0
332876	919cb3ae8fab326b5007c7db7	What is the best lead generator?	What's best for the IT lead generation?	0.0
385470	282d6a9cbac9d3d60384492a2	How do I know whether my phone has LTE/4G support or not?	Does Reliance Jio 4G requires a LTE SIM Cards or VOLTE compatible Handset? Can we use data on current phone over a WiFi?	0.0
7192	f8c83c19d46cf40a0bbf1788e	Can Brahmins eat eggs?	Are there any practising Brahmins in Bollywood ?	0.0
94384	c37a2a4120a5a7cd8d1b26df4	How many songs have been made?	Why do so many people know song lyrics by heart?	0.0
133119	b10d777c4239d4f9a47544220	Why did Austria-Hungary annex Bosnia and Herzegovina?	What was Austria-Hungary in Hitler's childhood years like?	0.0
329920	c247bf67cea11b8fd5e3b1684	In Westworld, how is Lawrence (the Man in Black’s captive) able to remember the happenings of the previous episode (killing of his family)?	In Westworld, if all the hosts are pulled from the storyline at times to be fixed, doesn't it alter the storylines for all the guests in that time?	0.0
139102	773235cf75bbde86ace4f8084	What is a scholarship?	What is AISEE Scholarship?	0.0
30585	b0b6192c4b75c9a223b9316c3	Are Indian nuclear scientists really being murdered? Is the government of India investigating?	Why do most of India's nuclear scientists get murdered?	1.0
161007	567ccd22ad22ead387abf45eb	What is the meaning of the song Fireflies by Owl City?	Who is Mac Miller and Owl City?	0.0
350515	8d45341370ba7bf55b2b1fd16	What does it take to be a great math teacher?	How can I be a great math techer?	1.0
